iteration=1
AMD, disk_mb=31459520.00, hitrate=67.50, cost=897.30, perf_penalty=19415.49, p50=50.7400, p95=179.2200, cost_gradient=5.1241, perf_gradient=-1261.2248, overall_gradient=-1256.1006
AGR, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PAT, disk_mb=46985280.00, hitrate=86.18, cost=730.06, perf_penalty=30287.14, p50=57.3100, p95=195.6000, cost_gradient=11.2158, perf_gradient=-3028.8247, overall_gradient=-3017.6089
FUK, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CGY, disk_mb=19536640.00, hitrate=91.90, cost=280.09, perf_penalty=4487.36, p50=39.5200, p95=187.2400, cost_gradient=16.0674, perf_gradient=-1429.6641, overall_gradient=-1413.5967
CEB, disk_mb=19922560.00, hitrate=91.90, cost=347.01, perf_penalty=5609.30, p50=36.4000, p95=178.6500, cost_gradient=8.2550, perf_gradient=-1215.1162, overall_gradient=-1206.8613
NNY, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LUH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
IXA, disk_mb=44738240.00, hitrate=85.75, cost=561.08, perf_penalty=10979.32, p50=55.3500, p95=190.6200, cost_gradient=11.5982, perf_gradient=-4296.9587, overall_gradient=-4285.3605
IXC, disk_mb=34237120.00, hitrate=74.01, cost=640.67, perf_penalty=40111.62, p50=55.0100, p95=180.6600, cost_gradient=8.1316, perf_gradient=-2360.4168, overall_gradient=-2352.2852
DAD, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
, disk_mb=88047040.00, hitrate=75.76, cost=2267.43, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=10.8547, perf_gradient=0.0000, overall_gradient=10.8547
KHH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=1279.36, p50=34.2900, p95=126.3900, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BKI, disk_mb=20632320.00, hitrate=92.16, cost=305.00, perf_penalty=10742.91, p50=47.7200, p95=182.4300, cost_gradient=14.7753, perf_gradient=-1516.3354, overall_gradient=-1501.5600
PLM, disk_mb=15209920.00, hitrate=93.67, cost=338.41, perf_penalty=3115.86, p50=21.2100, p95=160.6900, cost_gradient=13.6424, perf_gradient=-12.3090, overall_gradient=1.3334
PKU, disk_mb=38976640.00, hitrate=97.10, cost=792.28, perf_penalty=14518.06, p50=28.3600, p95=152.4200, cost_gradient=18.7604, perf_gradient=-172.9152, overall_gradient=-154.1548
CNX, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=665.04, p50=30.1600, p95=120.0200, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006

iteration=2
BWN, disk_mb=12632320.00, hitrate=89.49, cost=256.35, perf_penalty=584.25, p50=25.0100, p95=138.6700, cost_gradient=21.6463, perf_gradient=-86.8424, overall_gradient=-65.1961
ADL, disk_mb=48867520.00, hitrate=67.90, cost=2226.24, perf_penalty=9197.19, p50=33.3600, p95=123.5200, cost_gradient=16.4838, perf_gradient=-344.7248, overall_gradient=-328.2410
BNE, disk_mb=146585280.00, hitrate=82.18, cost=5485.19, perf_penalty=4475.30, p50=28.2100, p95=104.8700, cost_gradient=38.5570, perf_gradient=-84.8393, overall_gradient=-46.2823
MEL, disk_mb=24830720.00, hitrate=59.95, cost=1787.60, perf_penalty=405.69, p50=25.0500, p95=102.7600, cost_gradient=39.5944, perf_gradient=-310.8644, overall_gradient=-271.2700
PER, disk_mb=145047040.00, hitrate=80.69, cost=4129.70, perf_penalty=17818.52, p50=34.3400, p95=117.3500, cost_gradient=26.9398, perf_gradient=-1623.8952, overall_gradient=-1596.9553
SYD, disk_mb=15940480.00, hitrate=51.50, cost=2105.15, perf_penalty=0.00, p50=23.3200, p95=103.0900, cost_gradient=21.3825, perf_gradient=0.0000, overall_gradient=21.3825
DAC, disk_mb=0.00, hitrate=16.90, cost=0.00, perf_penalty=5347427.94, p50=64.5600, p95=211.8100, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PEK, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
CTU, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CAN, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
HGH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LHW, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
NGB, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JDZ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
WUX, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TNA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
NKG, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TAO, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SHA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SWA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SHE, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SZX, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SJW, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TSN, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
WUH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
XIY, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
HKG, disk_mb=2652160.00, hitrate=59.97, cost=326.74, perf_penalty=385.50, p50=16.7900, p95=126.5000, cost_gradient=66.5893, perf_gradient=-65.4445, overall_gradient=1.1448
CGK, disk_mb=44466880.00, hitrate=97.39, cost=932.73, perf_penalty=97975.76, p50=31.0700, p95=156.3300, cost_gradient=51.6281, perf_gradient=-461.1823, overall_gradient=-409.5543
BLR, disk_mb=46796480.00, hitrate=76.40, cost=4176.91, perf_penalty=14844.29, p50=39.2900, p95=146.6100, cost_gradient=53.9678, perf_gradient=-86.7014, overall_gradient=-32.7336
CCU, disk_mb=306226560.00, hitrate=95.24, cost=11173.52, perf_penalty=27951.01, p50=46.2000, p95=161.0800, cost_gradient=5.8450, perf_gradient=-70.3562, overall_gradient=-64.5111
MAA, disk_mb=40329280.00, hitrate=74.97, cost=1790.64, perf_penalty=8820.53, p50=37.8700, p95=144.7300, cost_gradient=55.2441, perf_gradient=-702.9306, overall_gradient=-647.6864
DEL, disk_mb=78975360.00, hitrate=83.14, cost=3620.76, perf_penalty=22690.11, p50=37.0600, p95=144.4600, cost_gradient=84.8335, perf_gradient=-673.4532, overall_gradient=-588.6197
HYD, disk_mb=592250880.00, hitrate=87.50, cost=15397.52, perf_penalty=3268.36, p50=30.9800, p95=133.3600, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
BOM, disk_mb=63396800.00, hitrate=74.60, cost=1947.40, perf_penalty=14201.56, p50=33.8900, p95=159.0600, cost_gradient=116.7131, perf_gradient=-419.7570, overall_gradient=-303.0439
PNQ, disk_mb=27653760.00, hitrate=65.88, cost=742.51, perf_penalty=4169.97, p50=32.8500, p95=152.5900, cost_gradient=20.5211, perf_gradient=-252.8791, overall_gradient=-232.3580
OSA, disk_mb=22103040.00, hitrate=64.39, cost=914.84, perf_penalty=1226.46, p50=24.6600, p95=115.0300, cost_gradient=96.3967, perf_gradient=-215.4538, overall_gradient=-119.0571
TYO, disk_mb=49207040.00, hitrate=68.08, cost=2302.82, perf_penalty=3933.36, p50=26.0800, p95=119.5700, cost_gradient=43.4412, perf_gradient=-840.9422, overall_gradient=-797.5009
MMJ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=806.47, p50=31.0600, p95=117.8000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OIT, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SEL, disk_mb=218572800.00, hitrate=78.50, cost=7517.92, perf_penalty=281330.46, p50=46.7700, p95=139.7000, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
KUL, disk_mb=35466880.00, hitrate=96.96, cost=920.98, perf_penalty=14469.85, p50=31.3200, p95=135.0400, cost_gradient=14.3120, perf_gradient=-325.9171, overall_gradient=-311.6051
AKL, disk_mb=141388800.00, hitrate=85.60, cost=7382.94, perf_penalty=14117.25, p50=28.2500, p95=116.5600, cost_gradient=-34.0361, perf_gradient=-574.7458, overall_gradient=-608.7819
CHC, disk_mb=55042880.00, hitrate=77.89, cost=1715.23, perf_penalty=466.57, p50=25.6600, p95=107.7700, cost_gradient=19.6781, perf_gradient=-117.8079, overall_gradient=-98.1298
WLG, disk_mb=67511040.00, hitrate=79.52, cost=1886.17, perf_penalty=3180.77, p50=28.5800, p95=117.4800, cost_gradient=16.8577, perf_gradient=-357.6133, overall_gradient=-340.7557
MNL, disk_mb=59881920.00, hitrate=95.69, cost=1813.40, perf_penalty=32694.55, p50=31.1300, p95=167.3800, cost_gradient=36.9146, perf_gradient=-410.2091, overall_gradient=-373.2945
KHI, disk_mb=1134039040.00, hitrate=89.90, cost=36302.89, perf_penalty=2812819.87, p50=56.2800, p95=257.8900, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
SIN, disk_mb=4932480.00, hitrate=82.46, cost=409.64, perf_penalty=0.00, p50=6.7800, p95=86.4200, cost_gradient=24.4726, perf_gradient=0.0000, overall_gradient=24.4726
BKK, disk_mb=68381440.00, hitrate=93.40, cost=2674.60, perf_penalty=22727.23, p50=31.0100, p95=124.7800, cost_gradient=45.2260, perf_gradient=-363.8264, overall_gradient=-318.6004
