disk_tb,hitrate_pct,p50_ms,p95_ms
332.0,78.9292,48.6400,179.2900
333.0,78.9621,48.6100,179.2400
334.0,78.9946,48.5800,179.2000
335.0,79.0751,48.5100,179.0800
336.0,79.0854,48.5000,179.0700
337.0,79.0958,48.4900,179.0500
338.0,79.1938,48.4100,178.9100
339.0,79.1958,48.4100,178.9100
340.0,79.1979,48.4000,178.9000
341.0,79.2000,48.4000,178.9000
342.0,79.3832,48.2500,178.6300
343.0,79.3849,48.2400,178.6300
344.0,79.3865,48.2400,178.6300
345.0,79.3881,48.2400,178.6300
346.0,79.3897,48.2400,178.6300
347.0,79.3914,48.2400,178.6200
348.0,79.3930,48.2400,178.6200
349.0,79.3946,48.2400,178.6200
350.0,79.3962,48.2400,178.6200
351.0,79.3978,48.2300,178.6100
352.0,79.3995,48.2300,178.6100
353.0,79.4831,48.1600,178.4900
354.0,79.4879,48.1600,178.4800
355.0,79.4928,48.1500,178.4800
356.0,79.4977,48.1500,178.4700
357.0,79.5694,48.0900,178.3600
358.0,79.5992,48.0600,178.3200
359.0,79.6000,48.0600,178.3200
360.0,79.6980,47.9800,178.1700
361.0,79.6981,47.9800,178.1700
362.0,79.6982,47.9800,178.1700
363.0,79.6984,47.9800,178.1700
364.0,79.6985,47.9800,178.1700
365.0,79.6986,47.9800,178.1700
366.0,79.6988,47.9800,178.1700
367.0,79.6989,47.9800,178.1700
368.0,79.6990,47.9800,178.1700
369.0,79.6991,47.9800,178.1700
370.0,79.6993,47.9800,178.1700
371.0,79.6994,47.9800,178.1700
372.0,79.6995,47.9800,178.1700
373.0,79.6997,47.9800,178.1700
374.0,79.6998,47.9800,178.1700
375.0,79.6999,47.9800,178.1700
376.0,79.9803,47.7400,177.7600
377.0,79.9815,47.7400,177.7500
378.0,79.9827,47.7400,177.7500
379.0,79.9839,47.7400,177.7500
380.0,79.9851,47.7400,177.7500
381.0,79.9863,47.7400,177.7500
382.0,79.9875,47.7400,177.7500
383.0,79.9887,47.7400,177.7400
384.0,79.9899,47.7400,177.7400
385.0,79.9911,47.7300,177.7400
386.0,79.9923,47.7300,177.7400
387.0,79.9935,47.7300,177.7400
388.0,79.9947,47.7300,177.7400
389.0,79.9959,47.7300,177.7300
390.0,79.9971,47.7300,177.7300
391.0,79.9983,47.7300,177.7300
392.0,79.9995,47.7300,177.7300
393.0,80.0888,47.6500,177.6000
394.0,80.0950,47.6500,177.5900
395.0,80.1876,47.5700,177.4500
396.0,80.1883,47.5700,177.4500
397.0,80.1891,47.5700,177.4500
398.0,80.1899,47.5700,177.4500
399.0,80.1906,47.5700,177.4400
400.0,80.1914,47.5700,177.4400
401.0,80.1921,47.5700,177.4400
402.0,80.1929,47.5700,177.4400
403.0,80.1936,47.5700,177.4400
404.0,80.1944,47.5700,177.4400
405.0,80.1952,47.5700,177.4400
406.0,80.1959,47.5600,177.4400
407.0,80.1967,47.5600,177.4400
408.0,80.1974,47.5600,177.4300
409.0,80.1982,47.5600,177.4300
410.0,80.1989,47.5600,177.4300
411.0,80.1997,47.5600,177.4300
412.0,80.2826,47.4900,177.3100
413.0,80.2871,47.4900,177.3000
414.0,80.2916,47.4900,177.2900
415.0,80.2961,47.4800,177.2900
416.0,80.4011,47.3900,177.1300
417.0,80.4089,47.3900,177.1200
418.0,80.4165,47.3800,177.1000
419.0,80.4243,47.3800,177.0900
420.0,80.4321,47.3700,177.0800
421.0,80.4397,47.3600,177.0700
422.0,80.4475,47.3600,177.0600
423.0,80.4553,47.3500,177.0500
424.0,80.4629,47.3400,177.0300
425.0,80.4707,47.3400,177.0200
426.0,80.4785,47.3300,177.0100
427.0,80.4861,47.3200,177.0000
428.0,80.4939,47.3200,176.9900
429.0,80.5808,47.2500,176.8600
430.0,80.5855,47.2400,176.8500
431.0,80.5902,47.2400,176.8400
432.0,80.5949,47.2300,176.8400
433.0,80.5996,47.2300,176.8300
434.0,80.6923,47.1500,176.6900
435.0,80.6930,47.1500,176.6900
436.0,80.6938,47.1500,176.6900
437.0,80.6945,47.1500,176.6900
438.0,80.6952,47.1500,176.6800
439.0,80.6960,47.1500,176.6800
440.0,80.6967,47.1500,176.6800
441.0,80.6975,47.1500,176.6800
442.0,80.6982,47.1500,176.6800
443.0,80.6990,47.1500,176.6800
444.0,80.6997,47.1500,176.6800
445.0,80.7935,47.0700,176.5400
446.0,80.7958,47.0700,176.5300
447.0,80.7981,47.0700,176.5300
448.0,80.8380,47.0300,176.4700
449.0,80.8981,46.9900,176.3800
450.0,80.8982,46.9900,176.3800
451.0,80.8983,46.9900,176.3800
452.0,80.8984,46.9900,176.3800
453.0,80.8984,46.9800,176.3800
454.0,80.8985,46.9800,176.3800
455.0,80.8986,46.9800,176.3800
456.0,80.8987,46.9800,176.3800
457.0,80.8988,46.9800,176.3800
458.0,80.8989,46.9800,176.3700
459.0,80.8990,46.9800,176.3700
460.0,80.8991,46.9800,176.3700
461.0,80.8992,46.9800,176.3700
462.0,80.8993,46.9800,176.3700
463.0,80.8994,46.9800,176.3700
464.0,80.8995,46.9800,176.3700
465.0,80.8996,46.9800,176.3700
466.0,80.8997,46.9800,176.3700
467.0,80.8998,46.9800,176.3700
468.0,80.8999,46.9800,176.3700
469.0,80.9000,46.9800,176.3700
470.0,80.9936,46.9100,176.2300
471.0,80.9941,46.9100,176.2300
472.0,80.9946,46.9100,176.2300
473.0,80.9951,46.9100,176.2300
474.0,80.9956,46.9100,176.2300
475.0,80.9960,46.9100,176.2300
476.0,80.9965,46.9100,176.2300
477.0,80.9970,46.9100,176.2200
478.0,80.9975,46.9100,176.2200
479.0,80.9980,46.9100,176.2200
480.0,80.9984,46.9000,176.2200
481.0,80.9989,46.9000,176.2200
482.0,80.9994,46.9000,176.2200
483.0,80.9999,46.9000,176.2200
484.0,81.1681,46.7700,175.9600
485.0,81.1701,46.7700,175.9600
486.0,81.1721,46.7700,175.9500
487.0,81.1741,46.7600,175.9500
488.0,81.1761,46.7600,175.9500
489.0,81.1781,46.7600,175.9500
490.0,81.1801,46.7600,175.9400
491.0,81.1820,46.7600,175.9400
492.0,81.1840,46.7600,175.9400
493.0,81.1860,46.7500,175.9300
494.0,81.1880,46.7500,175.9300
495.0,81.1900,46.7500,175.9300
496.0,81.1920,46.7500,175.9200
497.0,81.1940,46.7500,175.9200
498.0,81.1960,46.7500,175.9200
499.0,81.1980,46.7400,175.9200
500.0,81.2000,46.7400,175.9100
501.0,81.2954,46.6700,175.7700
502.0,81.2961,46.6700,175.7700
503.0,81.2969,46.6700,175.7600
504.0,81.2976,46.6700,175.7600
505.0,81.2984,46.6600,175.7600
506.0,81.2992,46.6600,175.7600
507.0,81.2999,46.6600,175.7600
508.0,81.3887,46.5900,175.6200
509.0,81.3901,46.5900,175.6200
510.0,81.3916,46.5900,175.6200
511.0,81.3930,46.5900,175.6200
512.0,81.3944,46.5900,175.6100
513.0,81.3959,46.5900,175.6100
514.0,81.3973,46.5900,175.6100
515.0,81.3987,46.5800,175.6100
516.0,81.4008,46.5800,175.6000
517.0,81.4089,46.5800,175.5900
518.0,81.4171,46.5700,175.5800
519.0,81.4253,46.5600,175.5700
520.0,81.4333,46.5600,175.5500
521.0,81.4415,46.5500,175.5400
522.0,81.4497,46.5400,175.5300
523.0,81.4578,46.5400,175.5200
524.0,81.4659,46.5300,175.5000
525.0,81.4741,46.5200,175.4900
526.0,81.4822,46.5200,175.4800
527.0,81.4903,46.5100,175.4700
528.0,81.4984,46.5000,175.4500
529.0,81.4999,46.5000,175.4500
530.0,81.4999,46.5000,175.4500
531.0,81.5000,46.5000,175.4500
532.0,81.5000,46.5000,175.4500
533.0,81.5000,46.5000,175.4500
534.0,81.5298,46.4800,175.4100
535.0,81.5979,46.4300,175.3000
536.0,81.5980,46.4300,175.3000
537.0,81.5981,46.4300,175.3000
538.0,81.5982,46.4300,175.3000
539.0,81.5983,46.4300,175.3000
540.0,81.5984,46.4300,175.3000
541.0,81.5984,46.4300,175.3000
542.0,81.5985,46.4300,175.3000
543.0,81.5986,46.4300,175.3000
544.0,81.5987,46.4300,175.3000
545.0,81.5988,46.4200,175.3000
546.0,81.5989,46.4200,175.3000
