iteration=1
MIA, disk_mb=47758080.00, hitrate=56.34, cost=3569.16, perf_penalty=9953.13, p50=28.2250, p95=120.6350, cost_gradient=31.8710, perf_gradient=-777.8547, overall_gradient=-745.9837
MKE, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=20585.43, p50=35.5970, p95=118.5210, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSP, disk_mb=119653760.00, hitrate=82.86, cost=3749.91, perf_penalty=4791.69, p50=28.6500, p95=106.7840, cost_gradient=30.9483, perf_gradient=-261.0999, overall_gradient=-230.1516
MSY, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=41110.86, p50=38.3750, p95=130.1370, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LGA, disk_mb=70757760.00, hitrate=75.45, cost=3617.44, perf_penalty=5976.78, p50=23.3360, p95=114.5740, cost_gradient=28.6712, perf_gradient=-431.3720, overall_gradient=-402.7007
ORL, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=25440.46, p50=35.3350, p95=126.2380, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PHL, disk_mb=110779520.00, hitrate=82.22, cost=3680.42, perf_penalty=1147.31, p50=24.8840, p95=107.7670, cost_gradient=32.9214, perf_gradient=-116.2551, overall_gradient=-83.3337
PHX, disk_mb=87158400.00, hitrate=75.71, cost=3066.74, perf_penalty=7623.30, p50=28.8710, p95=115.3090, cost_gradient=6.0970, perf_gradient=-651.7901, overall_gradient=-645.6931
PIT, disk_mb=70938240.00, hitrate=78.16, cost=2281.98, perf_penalty=6298.51, p50=31.3900, p95=107.7190, cost_gradient=14.6968, perf_gradient=-578.1475, overall_gradient=-563.4506
PDX, disk_mb=102024320.00, hitrate=76.10, cost=2251.89, perf_penalty=972.57, p50=25.0820, p95=109.5700, cost_gradient=31.9305, perf_gradient=-49.1715, overall_gradient=-17.2410
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=508.88, p50=26.8450, p95=109.7930, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=50449.36, p50=38.2650, p95=120.1040, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=15167.35, p50=41.7870, p95=131.3720, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=37813760.00, hitrate=62.80, cost=1068.64, perf_penalty=21069.08, p50=35.7280, p95=125.7610, cost_gradient=33.1084, perf_gradient=-1055.7338, overall_gradient=-1022.6253
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=14016.70, p50=32.9230, p95=119.5340, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=107588.83, p50=46.9570, p95=140.4380, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=26635.77, p50=35.5830, p95=121.3000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAN, disk_mb=33848640.00, hitrate=61.70, cost=963.36, perf_penalty=19070.99, p50=33.4410, p95=119.1080, cost_gradient=1.5503, perf_gradient=-818.3493, overall_gradient=-816.7990
