disk_tb,hitrate_pct,p50_ms,p95_ms
318.0,78.7952,33.6600,183.7700
319.0,78.7955,33.6600,183.7700
320.0,78.7959,33.6600,183.7700
321.0,78.7963,33.6600,183.7700
322.0,78.7967,33.6600,183.7700
323.0,78.7970,33.6600,183.7700
324.0,78.7974,33.6600,183.7700
325.0,78.7978,33.6600,183.7700
326.0,78.7981,33.6600,183.7700
327.0,78.7985,33.6600,183.7700
328.0,78.7989,33.6600,183.7600
329.0,78.7992,33.6600,183.7600
330.0,78.7996,33.6600,183.7600
331.0,78.8000,33.6600,183.7600
332.0,78.9292,33.5200,183.5500
333.0,78.9621,33.4800,183.4900
334.0,78.9946,33.4400,183.4400
335.0,79.0751,33.3500,183.3000
336.0,79.0854,33.3400,183.2800
337.0,79.0958,33.3300,183.2700
338.0,79.1938,33.2200,183.1000
339.0,79.1958,33.2200,183.1000
340.0,79.1979,33.2200,183.0900
341.0,79.2000,33.2200,183.0900
342.0,79.3832,33.0200,182.7800
343.0,79.3849,33.0200,182.7700
344.0,79.3865,33.0100,182.7700
345.0,79.3881,33.0100,182.7700
346.0,79.3897,33.0100,182.7700
347.0,79.3914,33.0100,182.7600
348.0,79.3930,33.0100,182.7600
349.0,79.3946,33.0000,182.7600
350.0,79.3962,33.0000,182.7500
351.0,79.3978,33.0000,182.7500
352.0,79.3995,33.0000,182.7500
353.0,79.4831,32.9100,182.6100
354.0,79.4879,32.9000,182.6000
355.0,79.4928,32.9000,182.5900
356.0,79.4977,32.8900,182.5800
357.0,79.5694,32.8200,182.4600
358.0,79.5992,32.7800,182.4100
359.0,79.6000,32.7800,182.4100
360.0,79.6980,32.6800,182.2400
361.0,79.6981,32.6800,182.2400
362.0,79.6982,32.6800,182.2400
363.0,79.6984,32.6800,182.2400
364.0,79.6985,32.6800,182.2400
365.0,79.6986,32.6800,182.2400
366.0,79.6988,32.6800,182.2400
367.0,79.6989,32.6800,182.2300
368.0,79.6990,32.6800,182.2300
369.0,79.6991,32.6800,182.2300
370.0,79.6993,32.6800,182.2300
371.0,79.6994,32.6800,182.2300
372.0,79.6995,32.6800,182.2300
373.0,79.6997,32.6800,182.2300
374.0,79.6998,32.6800,182.2300
375.0,79.6999,32.6800,182.2300
376.0,79.9803,32.3800,181.7500
377.0,79.9815,32.3800,181.7400
378.0,79.9827,32.3700,181.7400
379.0,79.9839,32.3700,181.7400
380.0,79.9851,32.3700,181.7400
381.0,79.9863,32.3700,181.7400
382.0,79.9875,32.3700,181.7300
383.0,79.9887,32.3700,181.7300
384.0,79.9899,32.3700,181.7300
385.0,79.9911,32.3700,181.7300
386.0,79.9923,32.3600,181.7300
387.0,79.9935,32.3600,181.7200
388.0,79.9947,32.3600,181.7200
389.0,79.9959,32.3600,181.7200
390.0,79.9971,32.3600,181.7200
391.0,79.9983,32.3600,181.7200
392.0,79.9995,32.3600,181.7100
393.0,80.0888,32.2600,181.5600
394.0,80.0950,32.2600,181.5500
395.0,80.1876,32.1600,181.3800
396.0,80.1883,32.1600,181.3800
397.0,80.1891,32.1600,181.3800
398.0,80.1899,32.1500,181.3800
399.0,80.1906,32.1500,181.3800
400.0,80.1914,32.1500,181.3800
401.0,80.1921,32.1500,181.3800
402.0,80.1929,32.1500,181.3700
403.0,80.1936,32.1500,181.3700
404.0,80.1944,32.1500,181.3700
405.0,80.1952,32.1500,181.3700
406.0,80.1959,32.1500,181.3700
407.0,80.1967,32.1500,181.3700
408.0,80.1974,32.1500,181.3700
409.0,80.1982,32.1500,181.3700
410.0,80.1989,32.1400,181.3600
411.0,80.1997,32.1400,181.3600
412.0,80.2826,32.0600,181.2200
413.0,80.2871,32.0500,181.2100
414.0,80.2916,32.0500,181.2000
415.0,80.2961,32.0400,181.1900
