iteration=1
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=37337.92, p50=38.9870, p95=128.5590, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=16560.42, p50=32.0570, p95=121.7150, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
FSD, disk_mb=19510080.00, hitrate=55.48, cost=520.29, perf_penalty=25050.60, p50=36.6050, p95=118.0820, cost_gradient=3.9346, perf_gradient=-2397.3461, overall_gradient=-2393.4115

iteration=2
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=69547.88, p50=45.9570, p95=138.6910, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ATL, disk_mb=107013760.00, hitrate=78.71, cost=4459.80, perf_penalty=8794.42, p50=28.5140, p95=116.5080, cost_gradient=-24.3809, perf_gradient=-542.9204, overall_gradient=-567.3013
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=15698.52, p50=33.6930, p95=113.5290, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=18245.39, p50=34.6090, p95=114.5370, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BOS, disk_mb=41416320.00, hitrate=64.02, cost=1360.90, perf_penalty=9128.06, p50=29.1750, p95=115.6300, cost_gradient=8.8179, perf_gradient=-761.8695, overall_gradient=-753.0516
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=48991.31, p50=42.0110, p95=130.6990, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=22916.09, p50=35.5300, p95=119.4320, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
ORD, disk_mb=70825600.00, hitrate=74.67, cost=3903.36, perf_penalty=8270.27, p50=28.7230, p95=114.9900, cost_gradient=25.4373, perf_gradient=-324.1871, overall_gradient=-298.7498
CVG, disk_mb=32917120.00, hitrate=63.62, cost=681.19, perf_penalty=25067.70, p50=36.7050, p95=117.5700, cost_gradient=11.5406, perf_gradient=-724.3237, overall_gradient=-712.7831
CLE, disk_mb=95411840.00, hitrate=82.35, cost=2321.18, perf_penalty=3498.72, p50=28.9150, p95=101.7210, cost_gradient=25.5884, perf_gradient=-153.0624, overall_gradient=-127.4740
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=35131.50, p50=39.3000, p95=122.1250, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
DFW, disk_mb=78638720.00, hitrate=76.34, cost=3693.80, perf_penalty=4262.70, p50=23.6870, p95=113.4310, cost_gradient=-64.0265, perf_gradient=-464.6152, overall_gradient=-528.6417
DEN, disk_mb=35180160.00, hitrate=63.36, cost=1059.03, perf_penalty=14351.64, p50=31.7870, p95=118.2610, cost_gradient=7.8348, perf_gradient=-745.9791, overall_gradient=-738.1443
DET, disk_mb=101443200.00, hitrate=83.35, cost=1637.87, perf_penalty=18415.88, p50=33.9240, p95=117.9650, cost_gradient=-1.9916, perf_gradient=-360.0468, overall_gradient=-362.0384
HNL, disk_mb=41139840.00, hitrate=64.49, cost=845.51, perf_penalty=237629.14, p50=67.0800, p95=191.6490, cost_gradient=10.5328, perf_gradient=-19233.9596, overall_gradient=-19223.4268
IAH, disk_mb=197744640.00, hitrate=91.00, cost=3784.32, perf_penalty=421.07, p50=25.0520, p95=103.7910, cost_gradient=-32.1133, perf_gradient=-41.9859, overall_gradient=-74.0992
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=23069.59, p50=35.6260, p95=119.2560, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MCI, disk_mb=39655040.00, hitrate=65.97, cost=841.65, perf_penalty=51764.68, p50=42.2210, p95=134.6400, cost_gradient=17.0916, perf_gradient=-493.8544, overall_gradient=-476.7628
LAS, disk_mb=52496000.00, hitrate=67.60, cost=1237.96, perf_penalty=25819.10, p50=33.6050, p95=134.1450, cost_gradient=15.5649, perf_gradient=-492.3763, overall_gradient=-476.8114
