iteration=1
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=2160.50, p50=33.7560, p95=114.2100, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=2271.87, p50=34.1490, p95=120.8600, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=6700.60, p50=42.7140, p95=137.3280, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=4637.74, p50=39.1740, p95=129.0050, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=4239.62, p50=32.1790, p95=122.0170, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=17008000.00, hitrate=53.32, cost=565.15, perf_penalty=2293.97, p50=36.9660, p95=118.7060, cost_gradient=5.3261, perf_gradient=-284.6731, overall_gradient=-279.3470

iteration=2
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=8696.78, p50=46.2290, p95=139.4390, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=99384640.00, hitrate=77.30, cost=5386.35, perf_penalty=5002.75, p50=28.7650, p95=117.2650, cost_gradient=-5.4172, perf_gradient=-346.5568, overall_gradient=-351.9740
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=3203.87, p50=34.1970, p95=115.4780, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=3224.27, p50=35.4550, p95=116.3900, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=45416320.00, hitrate=66.02, cost=1639.47, perf_penalty=2449.09, p50=28.8870, p95=115.2790, cost_gradient=15.8068, perf_gradient=-320.5912, overall_gradient=-304.7843
