iteration=1
OKC, disk_mb=925120.00, hitrate=-6.36, cost=9.42, perf_penalty=19156.90, p50=37.5630, p95=130.6850, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=5944.79, p50=40.5650, p95=125.3350, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006

iteration=2
ABQ, disk_mb=0.00, hitrate=-27.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=46996160.00, hitrate=59.70, cost=3406.46, perf_penalty=22177.07, p50=32.3230, p95=124.7350, cost_gradient=56.0254, perf_gradient=-1425.8428, overall_gradient=-1369.8174
AUS, disk_mb=0.00, hitrate=-13.10, cost=0.00, perf_penalty=12663.99, p50=39.7100, p95=127.3790, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=-13.20, cost=0.00, perf_penalty=14073.22, p50=44.1750, p95=127.9750, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=33034880.00, hitrate=48.58, cost=946.97, perf_penalty=6377.19, p50=30.8690, p95=117.6640, cost_gradient=56.8444, perf_gradient=-1048.9777, overall_gradient=-992.1334
BUF, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=40383.52, p50=38.9170, p95=127.9130, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=45208000.00, hitrate=62.32, cost=3540.06, perf_penalty=15294.00, p50=31.1350, p95=119.5520, cost_gradient=25.9783, perf_gradient=-1396.5676, overall_gradient=-1370.5894
CVG, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=14664.17, p50=48.3070, p95=129.4840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLE, disk_mb=27414400.00, hitrate=60.78, cost=1124.23, perf_penalty=6289.75, p50=35.1350, p95=114.1170, cost_gradient=25.0876, perf_gradient=-1123.6925, overall_gradient=-1098.6049
CMH, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=33569.01, p50=53.0140, p95=138.4750, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=43152960.00, hitrate=52.10, cost=3203.15, perf_penalty=8993.49, p50=28.5860, p95=122.1070, cost_gradient=40.4841, perf_gradient=-1394.4130, overall_gradient=-1353.9289
DEN, disk_mb=23328320.00, hitrate=52.79, cost=679.46, perf_penalty=11818.41, p50=33.3230, p95=127.3920, cost_gradient=48.5278, perf_gradient=-1044.7823, overall_gradient=-996.2545
DET, disk_mb=39904000.00, hitrate=64.60, cost=1224.78, perf_penalty=47126.25, p50=39.4960, p95=125.1710, cost_gradient=13.5265, perf_gradient=-1033.9392, overall_gradient=-1020.4127
HNL, disk_mb=0.00, hitrate=-19.60, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
IAH, disk_mb=52680320.00, hitrate=54.93, cost=3042.06, perf_penalty=8021.34, p50=31.7540, p95=119.5760, cost_gradient=-21.8172, perf_gradient=-1003.5010, overall_gradient=-1025.3182
IND, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=13170.09, p50=38.1810, p95=124.0170, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=33380800.00, hitrate=58.70, cost=902.89, perf_penalty=51187.24, p50=45.1570, p95=139.1890, cost_gradient=18.7985, perf_gradient=-1374.6851, overall_gradient=-1355.8867
LAS, disk_mb=30267840.00, hitrate=51.49, cost=816.32, perf_penalty=12451.13, p50=37.9070, p95=139.1130, cost_gradient=15.2451, perf_gradient=-1317.8814, overall_gradient=-1302.6363
LAX, disk_mb=52384000.00, hitrate=58.72, cost=2510.63, perf_penalty=18940.54, p50=31.2720, p95=123.4260, cost_gradient=73.8771, perf_gradient=-2436.6422, overall_gradient=-2362.7651
SDF, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=17949.17, p50=46.5110, p95=134.8840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=36519.68, p50=47.6500, p95=140.3250, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MIA, disk_mb=28118080.00, hitrate=47.95, cost=2275.07, perf_penalty=5995.70, p50=29.3850, p95=122.8490, cost_gradient=32.9991, perf_gradient=-773.9878, overall_gradient=-740.9888
MKE, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=15474.93, p50=38.6730, p95=124.4420, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSP, disk_mb=55860480.00, hitrate=64.80, cost=2622.02, perf_penalty=74510.05, p50=43.5250, p95=133.7740, cost_gradient=6.0314, perf_gradient=-1718.1598, overall_gradient=-1712.1284
MSY, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=32032.78, p50=43.1020, p95=137.9770, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LGA, disk_mb=29772480.00, hitrate=65.38, cost=1643.40, perf_penalty=4476.07, p50=25.5920, p95=119.1980, cost_gradient=48.8502, perf_gradient=-1419.5914, overall_gradient=-1370.7412
ORL, disk_mb=416640.00, hitrate=-22.47, cost=4.24, perf_penalty=13207.84, p50=36.4560, p95=128.3710, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PHL, disk_mb=43007680.00, hitrate=69.66, cost=2591.90, perf_penalty=2103.40, p50=26.6510, p95=113.6800, cost_gradient=13.0959, perf_gradient=-222.5064, overall_gradient=-209.4105
PHX, disk_mb=34592960.00, hitrate=53.69, cost=1913.48, perf_penalty=6762.98, p50=32.5860, p95=117.3630, cost_gradient=20.0858, perf_gradient=-946.6616, overall_gradient=-926.5759
PIT, disk_mb=35414400.00, hitrate=63.17, cost=1236.19, perf_penalty=37165.49, p50=42.7040, p95=128.7280, cost_gradient=27.3787, perf_gradient=-1792.2510, overall_gradient=-1764.8722
PDX, disk_mb=27657600.00, hitrate=53.09, cost=1073.98, perf_penalty=2953.70, p50=28.3060, p95=114.6420, cost_gradient=13.7737, perf_gradient=-359.8506, overall_gradient=-346.0768
PVD, disk_mb=0.00, hitrate=-24.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=-13.20, cost=0.00, perf_penalty=39251.28, p50=43.0870, p95=128.7980, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=26492160.00, hitrate=53.19, cost=764.52, perf_penalty=19783.82, p50=38.9770, p95=130.5230, cost_gradient=56.0232, perf_gradient=-712.3147, overall_gradient=-656.2915
STL, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=11029.04, p50=35.9510, p95=125.0600, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SLC, disk_mb=0.00, hitrate=-27.40, cost=0.00, perf_penalty=41692.05, p50=51.7680, p95=146.6170, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAT, disk_mb=0.00, hitrate=-13.10, cost=0.00, perf_penalty=25571.33, p50=42.0480, p95=133.1590, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAN, disk_mb=0.00, hitrate=-25.60, cost=0.00, perf_penalty=12467.79, p50=37.5980, p95=126.7680, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SJC, disk_mb=57199040.00, hitrate=61.90, cost=2252.66, perf_penalty=14463.16, p50=31.5330, p95=129.4830, cost_gradient=106.9883, perf_gradient=-953.4202, overall_gradient=-846.4319
SJU, disk_mb=102148480.00, hitrate=65.90, cost=2195.35, perf_penalty=362122.49, p50=65.3920, p95=192.3930, cost_gradient=-9.3521, perf_gradient=-5552.5227, overall_gradient=-5561.8748
SEA, disk_mb=51755200.00, hitrate=60.50, cost=1994.63, perf_penalty=15276.24, p50=34.1380, p95=126.8700, cost_gradient=104.2623, perf_gradient=-1134.9014, overall_gradient=-1030.6391
SYR, disk_mb=0.00, hitrate=-17.80, cost=0.00, perf_penalty=14737.47, p50=46.5270, p95=139.6720, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TPA, disk_mb=416640.00, hitrate=-22.47, cost=6.36, perf_penalty=6887.51, p50=33.1370, p95=122.8260, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
IAD, disk_mb=18879360.00, hitrate=33.82, cost=3511.76, perf_penalty=0.00, p50=22.3810, p95=98.1430, cost_gradient=8.1266, perf_gradient=0.0000, overall_gradient=8.1266
HVN, disk_mb=0.00, hitrate=-24.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OMA, disk_mb=20240000.00, hitrate=52.80, cost=601.77, perf_penalty=8714.01, p50=35.0260, p95=122.7980, cost_gradient=23.4244, perf_gradient=-704.2867, overall_gradient=-680.8622
RIC, disk_mb=0.00, hitrate=-13.20, cost=0.00, perf_penalty=26032.02, p50=45.4820, p95=131.8010, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TUS, disk_mb=0.00, hitrate=-25.60, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAX, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=13318.46, p50=36.9230, p95=130.2260, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BNA, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=19149.98, p50=38.8080, p95=129.7030, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
BDL, disk_mb=0.00, hitrate=-24.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ANC, disk_mb=0.00, hitrate=-25.60, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSN, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=10551.69, p50=36.6700, p95=121.1690, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ALB, disk_mb=0.00, hitrate=-24.40, cost=0.00, perf_penalty=4513.70, p50=37.5130, p95=126.8790, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAN, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LEX, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OKC, disk_mb=0.00, hitrate=-13.10, cost=0.00, perf_penalty=16739.76, p50=36.5920, p95=129.6300, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=5320.71, p50=39.6460, p95=123.9960, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006

iteration=3
ABQ, disk_mb=0.00, hitrate=-27.40, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=55996160.00, hitrate=61.80, cost=3520.27, perf_penalty=20093.24, p50=31.8520, p95=123.9900, cost_gradient=87.4871, perf_gradient=-736.0306, overall_gradient=-648.5435
AUS, disk_mb=0.00, hitrate=-13.10, cost=0.00, perf_penalty=11928.23, p50=39.2260, p95=126.7130, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=-13.20, cost=0.00, perf_penalty=14311.82, p50=44.3520, p95=128.0920, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=42034880.00, hitrate=51.54, cost=1058.95, perf_penalty=5278.86, p50=30.1370, p95=116.8770, cost_gradient=59.9515, perf_gradient=-722.0738, overall_gradient=-662.1222
BUF, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=-16.80, cost=0.00, perf_penalty=38291.90, p50=38.5100, p95=127.1780, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=57208000.00, hitrate=65.19, cost=3663.57, perf_penalty=13104.83, p50=30.5180, p95=118.6060, cost_gradient=52.8979, perf_gradient=-933.8735, overall_gradient=-880.9756
CVG, disk_mb=0.00, hitrate=-19.30, cost=0.00, perf_penalty=14867.96, p50=48.4800, p95=129.5950, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLE, disk_mb=34414400.00, hitrate=63.05, cost=1190.28, perf_penalty=5546.07, p50=34.4530, p95=113.1020, cost_gradient=47.9628, perf_gradient=-524.2010, overall_gradient=-476.2382
CMH, disk_mb=0.00, hitrate=-26.80, cost=0.00, perf_penalty=33982.09, p50=53.1970, p95=138.5930, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
